name,total_points,position_DEF,GW,team,opponent_team,position_FWD,position_GK,position_MID,game_avg_7,initval,was_home_False,was_home_True,pos_id,initval,rank,diff_from_avg,opp_defense_rank,opp_attack_rank,team_cluster_rank,opp_cluster_rank,was_home
Jannik Vestergaard,0,1,20,16,1,0,0,0,3.2857142857142856,45.0,0,1,1,45.0,3.0,-3.2857142857142856,0,1,1,1,True
Theo Walcott,2,0,20,16,1,0,0,1,3.4285714285714284,60.0,0,1,0,60.0,3.0,-1.4285714285714284,0,1,1,1,True
Gary Cahill,1,1,20,6,19,0,0,0,0.14285714285714285,45.0,0,1,1,45.0,1.0,0.8571428571428572,1,2,2,2,True
Matheus Pereira,2,0,20,18,12,0,0,1,2.2857142857142856,60.0,0,1,0,60.0,3.0,-0.2857142857142856,0,3,3,3,True
Romain Saïss,0,1,20,20,5,0,0,0,1.2857142857142858,50.0,1,0,1,50.0,2.0,-1.2857142857142858,0,2,2,2,False
Mason Holgate,2,1,20,7,9,0,0,0,3.142857142857143,50.0,0,1,1,50.0,3.0,-1.1428571428571428,2,2,2,2,True
James Rodríguez,8,0,20,7,9,0,0,1,1.5714285714285714,75.0,0,1,0,75.0,2.0,6.428571428571429,2,2,2,2,True
Ryan Bertrand,0,1,20,16,1,0,0,0,1.8571428571428572,50.0,0,1,1,50.0,2.0,-1.8571428571428572,0,1,1,1,True
Sam Johnstone,0,0,20,18,12,0,1,0,2.7142857142857144,45.0,0,1,3,45.0,3.0,-2.7142857142857144,0,3,3,3,True
Alexandre Lacazette,11,0,20,1,16,1,0,0,2.2857142857142856,85.0,1,0,2,85.0,3.0,8.714285714285715,3,1,1,1,False
Willian Borges Da Silva,1,0,20,1,16,0,0,1,1.1428571428571428,80.0,1,0,0,80.0,2.0,-0.1428571428571428,3,1,1,1,False
Adama Traoré,3,0,20,20,5,0,0,1,1.8571428571428572,65.0,1,0,0,65.0,2.0,1.1428571428571428,0,2,2,2,False
Willy Boly,6,1,20,20,5,0,0,0,1.5714285714285714,55.0,1,0,1,55.0,2.0,4.428571428571429,0,2,2,2,False
Hélder Wander Sousa de Azevedo e Costa,0,0,20,9,14,0,0,1,0.2857142857142857,55.0,1,0,0,55.0,1.0,-0.2857142857142857,2,1,1,1,False
Che Adams,2,0,20,16,1,1,0,0,4.285714285714286,60.0,0,1,2,60.0,3.0,-2.2857142857142856,0,1,1,1,True
Çaglar Söyüncü,1,1,20,10,7,0,0,0,0.8571428571428571,55.0,1,0,1,55.0,2.0,0.1428571428571429,1,1,1,1,False
Mario Lemina,1,0,20,8,3,0,0,1,1.2857142857142858,45.0,1,0,0,45.0,2.0,-0.2857142857142858,1,1,1,1,False
Joseph Willock,1,0,20,1,16,0,0,1,0.2857142857142857,50.0,1,0,0,50.0,1.0,0.7142857142857143,3,1,1,1,False
Illan Meslier,3,0,20,9,14,0,1,0,2.7142857142857144,45.0,1,0,3,45.0,3.0,0.2857142857142856,2,1,1,1,False
Allan Saint-Maximin,1,0,20,14,10,0,0,1,2.2857142857142856,55.0,0,1,0,55.0,3.0,-1.2857142857142856,2,2,2,2,True
César Azpilicueta,7,1,20,5,20,0,0,0,4.428571428571429,60.0,0,1,1,60.0,3.0,2.571428571428571,2,0,0,0,True
Ayoze Pérez,2,0,20,10,7,0,0,1,1.4285714285714286,65.0,1,0,0,65.0,2.0,0.5714285714285714,1,1,1,1,False
Andros Townsend,2,0,20,6,19,0,0,1,3.142857142857143,60.0,0,1,0,60.0,3.0,-1.1428571428571428,1,2,2,2,True
Andrew Robertson,2,1,20,11,17,0,0,0,2.5714285714285716,70.0,1,0,1,70.0,3.0,-0.5714285714285716,0,2,2,2,False
Max Kilman,6,1,20,20,5,0,0,0,1.5714285714285714,40.0,1,0,1,40.0,2.0,4.428571428571429,0,2,2,2,False
Abdoulaye Doucouré,0,0,20,7,9,0,0,1,1.4285714285714286,55.0,0,1,0,55.0,2.0,-1.4285714285714286,2,2,2,2,True
André-Frank Zambo Anguissa,3,0,20,8,3,0,0,1,2.142857142857143,45.0,1,0,0,45.0,2.0,0.8571428571428572,1,1,1,1,False
Aleksandar Mitrović,1,0,20,8,3,1,0,0,3.2857142857142856,60.0,1,0,2,60.0,3.0,-2.2857142857142856,1,1,1,1,False
Luka Milivojevic,2,0,20,6,19,0,0,1,1.8571428571428572,60.0,0,1,0,60.0,2.0,0.1428571428571428,1,2,2,2,True
Tyrick Mitchell,1,1,20,6,19,0,0,0,1.5714285714285714,40.0,0,1,1,40.0,2.0,-0.5714285714285714,1,2,2,2,True
Jonjo Shelvey,2,0,20,14,10,0,0,1,1.2857142857142858,55.0,0,1,0,55.0,2.0,0.7142857142857142,2,2,2,2,True
Stuart Dallas,2,1,20,9,14,0,0,0,3.0,45.0,1,0,1,45.0,3.0,-1.0,2,1,1,1,False
Rúben Diogo da Silva Neves,3,0,20,20,5,0,0,1,4.285714285714286,55.0,1,0,0,55.0,3.0,-1.2857142857142856,0,2,2,2,False
Lucas Rodrigues Moura da Silva,0,0,20,17,11,0,0,1,1.7142857142857142,70.0,0,1,0,70.0,2.0,-1.7142857142857142,0,2,2,2,True
Kai Havertz,3,0,20,5,20,0,0,1,4.428571428571429,85.0,0,1,0,85.0,3.0,-1.4285714285714288,2,0,0,0,True
Fabio Silva,1,0,21,20,6,1,0,0,4.142857142857143,55.0,1,0,2,55.0,3.0,-3.1428571428571432,3,1,1,1,False
Jonjo Shelvey,5,0,21,14,7,0,0,1,2.857142857142857,55.0,1,0,0,55.0,3.0,2.142857142857143,1,1,1,1,False
Mohamed Salah,15,0,21,11,19,0,0,1,6.142857142857143,120.0,1,0,0,120.0,3.0,8.857142857142858,1,2,2,2,False
Nicolas Pépé,3,0,21,1,13,0,0,1,0.7142857142857143,80.0,0,1,0,80.0,1.0,2.2857142857142856,0,3,3,3,True
Jamie Vardy,0,0,21,10,10,1,0,0,2.857142857142857,100.0,0,1,2,100.0,3.0,-2.857142857142857,2,2,2,2,True
Theo Walcott,2,0,21,16,2,0,0,1,1.8571428571428572,60.0,0,1,0,60.0,2.0,0.1428571428571428,1,1,1,1,True
Fabio Henrique Tavares,0,0,21,11,19,0,0,1,2.0,55.0,1,0,0,55.0,2.0,-2.0,1,2,2,2,False
Kalvin Phillips,2,0,21,9,9,0,0,1,2.0,50.0,1,0,0,50.0,2.0,0.0,2,2,2,2,False
James Rodríguez,1,0,21,7,14,0,0,1,5.0,75.0,0,1,0,75.0,3.0,-4.0,2,1,1,1,True
Alexandre Lacazette,2,0,21,1,13,1,0,0,2.857142857142857,85.0,0,1,2,85.0,3.0,-0.8571428571428572,0,3,3,3,True
Oriol Romeu Vidal,2,0,21,16,2,0,0,1,1.8571428571428572,45.0,0,1,0,45.0,2.0,0.1428571428571428,1,1,1,1,True
Aaron Cresswell,4,1,21,19,11,0,0,0,6.142857142857143,50.0,0,1,1,50.0,3.0,-2.1428571428571432,0,2,2,2,True
Roberto Firmino,4,0,21,11,19,1,0,0,3.7142857142857144,95.0,1,0,2,95.0,3.0,0.2857142857142856,1,2,2,2,False
Karl Darlow,6,0,21,14,7,0,1,0,2.857142857142857,50.0,1,0,3,50.0,3.0,3.142857142857143,1,1,1,1,False
Matt Ritchie,0,0,21,14,7,0,0,1,0.2857142857142857,50.0,1,0,0,50.0,1.0,-0.2857142857142857,1,1,1,1,False
Gabriel Magalhães,0,1,21,1,13,0,0,0,1.5714285714285714,50.0,0,1,1,50.0,2.0,-1.5714285714285714,0,3,3,3,True
Neal Maupay,1,0,21,3,17,1,0,0,3.7142857142857144,65.0,0,1,2,65.0,3.0,-2.7142857142857144,0,2,2,2,True
Rob Holding,8,1,21,1,13,0,0,0,2.5714285714285716,45.0,0,1,1,45.0,3.0,5.428571428571429,0,3,3,3,True
Jan Bednarek,2,1,21,16,2,0,0,0,2.5714285714285716,45.0,0,1,1,45.0,3.0,-0.5714285714285716,1,1,1,1,True
Solomon March,3,0,21,3,17,0,0,1,1.8571428571428572,50.0,0,1,0,50.0,2.0,1.1428571428571428,0,2,2,2,True
Heung-Min Son,2,0,21,17,3,0,0,1,6.142857142857143,90.0,1,0,0,90.0,3.0,-4.142857142857143,1,1,1,1,False
Lukasz Fabianski,1,0,21,19,11,0,1,0,2.5714285714285716,50.0,0,1,3,50.0,3.0,-1.5714285714285716,0,2,2,2,True
Jordan Pickford,1,0,21,7,14,0,1,0,1.5714285714285714,50.0,0,1,3,50.0,2.0,-0.5714285714285714,2,1,1,1,True
Joseph Willock,0,0,21,1,13,0,0,1,1.8571428571428572,50.0,0,1,0,50.0,2.0,-1.8571428571428572,0,3,3,3,True
Jacob Murphy,0,0,21,14,7,0,0,1,1.5714285714285714,50.0,1,0,0,50.0,2.0,-1.5714285714285714,1,1,1,1,False
Leander Dendoncker,2,0,21,20,6,0,0,1,1.1428571428571428,50.0,1,0,0,50.0,2.0,0.8571428571428572,3,1,1,1,False
Jordan Henderson,2,0,21,11,19,0,0,1,1.0,55.0,1,0,0,55.0,2.0,1.0,1,2,2,2,False
Rúben Diogo da Silva Neves,0,0,21,20,6,0,0,1,2.7142857142857144,55.0,1,0,0,55.0,3.0,-2.7142857142857144,3,1,1,1,False
Enda Stevens,0,1,21,15,12,0,0,0,0.42857142857142855,55.0,1,0,1,55.0,1.0,-0.42857142857142855,0,3,3,3,False
Dan Burn,0,1,21,3,17,0,0,0,2.4285714285714284,45.0,0,1,1,45.0,3.0,-2.4285714285714284,0,2,2,2,True
Vicente Guaita,8,0,21,6,20,0,1,0,4.857142857142857,50.0,0,1,3,50.0,3.0,3.1428571428571432,2,0,0,0,True
Michail Antonio,2,0,21,19,11,1,0,0,2.857142857142857,65.0,0,1,2,65.0,3.0,-0.8571428571428572,0,2,2,2,True
Lucas Digne,1,1,21,7,14,0,0,0,2.857142857142857,60.0,0,1,1,60.0,3.0,-1.8571428571428572,2,1,1,1,True
Pedro Lomba Neto,2,0,21,20,6,0,0,1,2.5714285714285716,55.0,1,0,0,55.0,3.0,-0.5714285714285716,3,1,1,1,False
James Ward-Prowse,1,0,21,16,2,0,0,1,4.285714285714286,60.0,0,1,0,60.0,3.0,-3.2857142857142856,1,1,1,1,True
Gylfi Sigurdsson,1,0,21,7,14,0,0,1,2.7142857142857144,70.0,0,1,0,70.0,3.0,-1.7142857142857144,2,1,1,1,True
Bukayo Saka,0,0,21,1,13,0,0,1,1.2857142857142858,55.0,0,1,0,55.0,2.0,-1.2857142857142858,0,3,3,3,True
Ryan Bertrand,2,1,21,16,2,0,0,0,2.5714285714285716,50.0,0,1,1,50.0,3.0,-0.5714285714285716,1,1,1,1,True
Romain Saïss,0,1,21,20,6,0,0,0,1.5714285714285714,50.0,1,0,1,50.0,2.0,-1.5714285714285714,3,1,1,1,False
Miguel Almirón,3,0,21,14,7,0,0,1,1.8571428571428572,60.0,1,0,0,60.0,2.0,1.1428571428571428,1,1,1,1,False
Oliver Norwood,1,0,21,15,12,0,0,1,1.1428571428571428,50.0,1,0,0,50.0,2.0,-0.1428571428571428,0,3,3,3,False
Youri Tielemans,2,0,21,10,10,0,0,1,2.7142857142857144,65.0,0,1,0,65.0,3.0,-0.7142857142857144,2,2,2,2,True
Ross Barkley,8,0,21,2,16,0,0,1,2.7142857142857144,60.0,1,0,0,60.0,3.0,5.285714285714286,3,1,1,1,False
Toby Alderweireld,1,1,21,17,3,0,0,0,4.0,55.0,1,0,1,55.0,3.0,-3.0,1,1,1,1,False
Conor Coady,1,1,21,20,6,0,0,0,1.8571428571428572,50.0,1,0,1,50.0,2.0,-0.8571428571428572,3,1,1,1,False
Pablo Fornals,2,0,21,19,11,0,0,1,5.0,65.0,0,1,0,65.0,3.0,-3.0,0,2,2,2,True
Timothy Castagne,1,1,21,10,10,0,0,0,2.4285714285714284,55.0,0,1,1,55.0,3.0,-1.4285714285714284,2,2,2,2,True
Luka Milivojevic,3,0,21,6,20,0,0,1,2.5714285714285716,60.0,0,1,0,60.0,3.0,0.4285714285714284,2,0,0,0,True
Ezgjan Alioski,2,1,21,9,9,0,0,0,3.4285714285714284,45.0,1,0,1,45.0,3.0,-1.4285714285714284,2,2,2,2,False
Stuart Dallas,7,1,21,9,9,0,0,0,3.7142857142857144,45.0,1,0,1,45.0,3.0,3.2857142857142856,2,2,2,2,False
Steven Bergwijn,2,0,21,17,3,0,0,1,0.5714285714285714,75.0,1,0,0,75.0,1.0,1.4285714285714286,1,1,1,1,False
James Justin,1,1,21,10,10,0,0,0,2.0,45.0,0,1,1,45.0,2.0,-1.0,2,2,2,2,True
Danny Ings,2,0,21,16,2,1,0,0,3.4285714285714284,85.0,0,1,2,85.0,3.0,-1.4285714285714284,1,1,1,1,True
Liam Cooper,2,1,21,9,9,0,0,0,1.4285714285714286,45.0,1,0,1,45.0,2.0,0.5714285714285714,2,2,2,2,False
Ruben Loftus-Cheek,2,0,21,8,18,0,0,1,1.4285714285714286,60.0,1,0,0,60.0,2.0,0.5714285714285714,3,0,0,0,False
Kieran Tierney,0,1,21,1,13,0,0,0,2.142857142857143,55.0,0,1,1,55.0,2.0,-2.142857142857143,0,3,3,3,True
Federico Fernández,0,1,21,14,7,0,0,0,1.2857142857142858,50.0,1,0,1,50.0,2.0,-1.2857142857142858,1,1,1,1,False
Alisson Ramses Becker,2,0,21,11,19,0,1,0,5.285714285714286,60.0,1,0,3,60.0,3.0,-3.2857142857142856,1,2,2,2,False
João Filipe Iria Santos Moutinho,2,0,21,20,6,0,0,1,1.2857142857142858,55.0,1,0,0,55.0,2.0,0.7142857142857142,3,1,1,1,False
Hélder Wander Sousa de Azevedo e Costa,1,0,21,9,9,0,0,1,1.7142857142857142,55.0,1,0,0,55.0,2.0,-0.7142857142857142,2,2,2,2,False
Andrew Robertson,2,1,21,11,19,0,0,0,5.0,70.0,1,0,1,70.0,3.0,-3.0,1,2,2,2,False
Pierre-Emile Højbjerg,2,0,21,17,3,0,0,1,5.0,50.0,1,0,0,50.0,3.0,-3.0,1,1,1,1,False
Lucas Rodrigues Moura da Silva,1,0,21,17,3,0,0,1,2.4285714285714284,70.0,1,0,0,70.0,3.0,-1.4285714285714284,1,1,1,1,False
Daniel Ceballos Fernández,0,0,21,1,13,0,0,1,0.7142857142857143,50.0,0,1,0,50.0,1.0,-0.7142857142857143,0,3,3,3,True
Seamus Coleman,1,1,21,7,14,0,0,0,3.7142857142857144,50.0,0,1,1,50.0,3.0,-2.7142857142857144,2,1,1,1,True
Abdoulaye Doucouré,2,0,21,7,14,0,0,1,1.8571428571428572,55.0,0,1,0,55.0,2.0,0.1428571428571428,2,1,1,1,True
Chris Basham,2,1,21,15,12,0,0,0,1.0,50.0,1,0,1,50.0,2.0,1.0,0,3,3,3,False
Che Adams,1,0,21,16,2,1,0,0,4.285714285714286,60.0,0,1,2,60.0,3.0,-3.2857142857142856,1,1,1,1,True
Mateusz Klich,2,0,21,9,9,0,0,1,2.142857142857143,55.0,1,0,0,55.0,2.0,-0.1428571428571428,2,2,2,2,False
Rodrigo Moreno,1,0,21,9,9,1,0,0,1.1428571428571428,60.0,1,0,2,60.0,2.0,-0.1428571428571428,2,2,2,2,False
Angelo Ogbonna,1,1,21,19,11,0,0,0,1.8571428571428572,50.0,0,1,1,50.0,2.0,-0.8571428571428572,0,2,2,2,True
Wilfred Ndidi,0,0,21,10,10,0,0,1,2.857142857142857,50.0,0,1,0,50.0,3.0,-2.857142857142857,2,2,2,2,True
Declan Rice,1,0,21,19,11,0,0,1,2.0,50.0,0,1,0,50.0,2.0,-1.0,0,2,2,2,True
Jack Harrison,9,0,21,9,9,0,0,1,3.0,55.0,1,0,0,55.0,3.0,6.0,2,2,2,2,False
Ayoze Pérez,2,0,21,10,10,0,0,1,0.8571428571428571,65.0,0,1,0,65.0,2.0,1.1428571428571428,2,2,2,2,True
Diogo Jota,0,0,21,11,19,0,0,1,5.142857142857143,65.0,1,0,0,65.0,3.0,-5.142857142857143,1,2,2,2,False
Pierre-Emerick Aubameyang,0,0,21,1,13,0,0,1,4.142857142857143,120.0,0,1,0,120.0,3.0,-4.142857142857143,0,3,3,3,True
Eric Dier,0,1,21,17,3,0,0,0,2.2857142857142856,50.0,1,0,1,50.0,3.0,-2.2857142857142856,1,1,1,1,False
Wilfried Zaha,2,0,21,6,20,0,0,1,5.714285714285714,70.0,0,1,0,70.0,3.0,-3.7142857142857144,2,0,0,0,True
Jarrod Bowen,2,0,21,19,11,0,0,1,3.142857142857143,65.0,0,1,0,65.0,3.0,-1.1428571428571428,0,2,2,2,True
Lewis Dunk,6,1,21,3,17,0,0,0,4.571428571428571,50.0,0,1,1,50.0,3.0,1.4285714285714288,0,2,2,2,True
Yves Bissouma,3,0,21,3,17,0,0,1,2.0,45.0,0,1,0,45.0,2.0,1.0,0,2,2,2,True
Michael Keane,0,1,21,7,14,0,0,0,3.142857142857143,50.0,0,1,1,50.0,3.0,-3.142857142857143,2,1,1,1,True
Emiliano Martínez,10,0,21,2,16,0,1,0,5.857142857142857,45.0,1,0,3,45.0,3.0,4.142857142857143,3,1,1,1,False
Jordan Ayew,5,0,21,6,20,1,0,0,2.0,60.0,0,1,2,60.0,2.0,3.0,2,0,0,0,True
Stuart Armstrong,2,0,21,16,2,0,0,1,3.0,55.0,0,1,0,55.0,3.0,-1.0,1,1,1,1,True
Ben White,6,1,21,3,17,0,0,0,3.2857142857142856,45.0,0,1,1,45.0,3.0,2.7142857142857144,0,2,2,2,True
Richarlison de Andrade,2,0,21,7,14,1,0,0,2.2857142857142856,80.0,0,1,2,80.0,3.0,-0.2857142857142856,2,1,1,1,True
Luke Ayling,1,1,21,9,9,0,0,0,2.2857142857142856,45.0,1,0,1,45.0,3.0,-1.2857142857142856,2,2,2,2,False
Andros Townsend,1,0,21,6,20,0,0,1,1.4285714285714286,60.0,0,1,0,60.0,2.0,-0.4285714285714286,2,0,0,0,True
Alex McCarthy,3,0,21,16,2,0,1,0,3.0,45.0,0,1,3,45.0,3.0,0.0,1,1,1,1,True
Mason Holgate,0,1,21,7,14,0,0,0,1.1428571428571428,50.0,0,1,1,50.0,2.0,-1.1428571428571428,2,1,1,1,True
Harry Kane,0,0,21,17,3,1,0,0,5.571428571428571,105.0,1,0,2,105.0,3.0,-5.571428571428571,1,1,1,1,False
Bernd Leno,7,0,21,1,13,0,1,0,4.571428571428571,50.0,0,1,3,50.0,3.0,2.428571428571429,0,3,3,3,True
Allan Saint-Maximin,1,0,21,14,7,0,0,1,1.2857142857142858,55.0,1,0,0,55.0,2.0,-0.2857142857142858,1,1,1,1,False
David McGoldrick,1,0,21,15,12,1,0,0,3.857142857142857,55.0,1,0,2,55.0,3.0,-2.857142857142857,0,3,3,3,False
Jonny Evans,1,1,21,10,10,0,0,0,2.142857142857143,55.0,0,1,1,55.0,2.0,-1.1428571428571428,2,2,2,2,True
Kelechi Iheanacho,0,0,21,10,10,1,0,0,3.2857142857142856,60.0,0,1,2,60.0,3.0,-3.2857142857142856,2,2,2,2,True
Leandro Trossard,10,0,21,3,17,0,0,1,3.2857142857142856,60.0,0,1,0,60.0,3.0,6.714285714285714,0,2,2,2,True
Héctor Bellerín,8,1,21,1,13,0,0,0,3.857142857142857,50.0,0,1,1,50.0,3.0,4.142857142857142,0,3,3,3,True
Willian Borges Da Silva,1,0,21,1,13,0,0,1,1.1428571428571428,80.0,0,1,0,80.0,2.0,-0.1428571428571428,0,3,3,3,True
Trent Alexander-Arnold,2,1,21,11,19,0,0,0,3.0,75.0,1,0,1,75.0,3.0,-1.0,1,2,2,2,False
Çaglar Söyüncü,0,1,21,10,10,0,0,0,0.42857142857142855,55.0,0,1,1,55.0,1.0,-0.42857142857142855,2,2,2,2,True
Joël Veltman,6,1,21,3,17,0,0,0,3.0,45.0,0,1,1,45.0,3.0,3.0,0,2,2,2,True
Marc Albrighton,1,0,21,10,10,0,0,1,2.142857142857143,55.0,0,1,0,55.0,2.0,-1.1428571428571428,2,2,2,2,True
Dominic Calvert-Lewin,2,0,21,7,14,1,0,0,3.7142857142857144,70.0,0,1,2,70.0,3.0,-1.7142857142857144,2,1,1,1,True
John Egan,1,1,21,15,12,0,0,0,0.5714285714285714,50.0,1,0,1,50.0,1.0,0.4285714285714286,0,3,3,3,False
Tomas Soucek,1,0,21,19,11,0,0,1,3.7142857142857144,50.0,0,1,0,50.0,3.0,-2.7142857142857144,0,2,2,2,True
Jeff Hendrick,2,0,21,14,7,0,0,1,1.7142857142857142,50.0,1,0,0,50.0,2.0,0.2857142857142858,1,1,1,1,False
Alex Iwobi,3,0,21,7,14,0,0,1,3.142857142857143,60.0,0,1,0,60.0,3.0,-0.1428571428571428,2,1,1,1,True
Ben Osborn,0,0,21,15,12,0,0,1,0.8571428571428571,50.0,1,0,0,50.0,2.0,-0.8571428571428571,0,3,3,3,False
Nathan Redmond,2,0,21,16,2,0,0,1,1.7142857142857142,65.0,0,1,0,65.0,2.0,0.2857142857142858,1,1,1,1,True
Joel Ward,1,1,21,6,20,0,0,0,1.1428571428571428,45.0,0,1,1,45.0,2.0,-0.1428571428571428,2,0,0,0,True
Jeffrey Schlupp,0,0,21,6,20,0,0,1,0.8571428571428571,55.0,0,1,0,55.0,2.0,-0.8571428571428571,2,0,0,0,True
Daniel Castelo Podence,2,0,21,20,6,0,0,1,1.2857142857142858,55.0,1,0,0,55.0,2.0,0.7142857142857142,3,1,1,1,False
Georginio Wijnaldum,9,0,21,11,19,0,0,1,3.142857142857143,55.0,1,0,0,55.0,3.0,5.857142857142858,1,2,2,2,False
Kyle Walker-Peters,0,1,21,16,2,0,0,0,2.2857142857142856,45.0,0,1,1,45.0,3.0,-2.2857142857142856,1,1,1,1,True
Sadio Mané,0,0,21,11,19,0,0,1,5.142857142857143,120.0,1,0,0,120.0,3.0,-5.142857142857143,1,2,2,2,False
Aaron Ramsdale,3,0,21,15,12,0,1,0,2.2857142857142856,50.0,1,0,3,50.0,3.0,0.7142857142857144,0,3,3,3,False
Max Kilman,1,1,21,20,6,0,0,0,1.5714285714285714,40.0,1,0,1,40.0,2.0,-0.5714285714285714,3,1,1,1,False
Pascal Groß,9,0,21,3,17,0,0,1,4.428571428571429,60.0,0,1,0,60.0,3.0,4.571428571428571,0,2,2,2,True
John Fleck,2,0,21,15,12,0,0,1,3.142857142857143,60.0,1,0,0,60.0,3.0,-1.1428571428571428,0,3,3,3,False
Kasper Schmeichel,2,0,21,10,10,0,1,0,3.857142857142857,55.0,0,1,3,55.0,3.0,-1.8571428571428572,2,2,2,2,True
Hugo Lloris,2,0,21,17,3,0,1,0,5.857142857142857,55.0,1,0,3,55.0,3.0,-3.8571428571428568,1,1,1,1,False
Christian Benteke,0,0,21,6,20,1,0,0,3.0,55.0,0,1,2,55.0,3.0,-3.0,2,0,0,0,True
Ben Davies,2,1,21,17,3,0,0,0,2.0,50.0,1,0,1,50.0,2.0,0.0,1,1,1,1,False
George Baldock,1,1,21,15,12,0,0,0,0.8571428571428571,55.0,1,0,1,55.0,2.0,0.1428571428571429,0,3,3,3,False
Jairo Riedewald,1,0,21,6,20,0,0,1,3.0,45.0,0,1,0,45.0,3.0,-2.0,2,0,0,0,True
Granit Xhaka,3,0,21,1,13,0,0,1,2.0,55.0,0,1,0,55.0,2.0,1.0,0,3,3,3,True
Adam Webster,6,1,21,3,17,0,0,0,3.0,45.0,0,1,1,45.0,3.0,3.0,0,2,2,2,True
Emile Smith Rowe,3,0,21,1,13,0,0,1,0.7142857142857143,45.0,0,1,0,45.0,1.0,2.2857142857142856,0,3,3,3,True
Adam Lallana,1,0,21,3,17,0,0,1,2.0,65.0,0,1,0,65.0,2.0,-1.0,0,2,2,2,True
James Maddison,5,0,21,10,10,0,0,1,2.2857142857142856,70.0,0,1,0,70.0,3.0,2.7142857142857144,2,2,2,2,True
Yerry Mina,1,1,21,7,14,0,0,0,3.142857142857143,55.0,0,1,1,55.0,3.0,-2.142857142857143,2,1,1,1,True
Patrick van Aanholt,9,1,21,6,20,0,0,0,4.142857142857143,55.0,0,1,1,55.0,3.0,4.857142857142857,2,0,0,0,True
Pascal Struijk,2,1,21,9,9,0,0,0,2.142857142857143,40.0,1,0,1,40.0,2.0,-0.1428571428571428,2,2,2,2,False
Callum Wilson,13,0,21,14,7,1,0,0,5.285714285714286,65.0,1,0,2,65.0,3.0,7.714285714285714,1,1,1,1,False
Joelinton Cássio Apolinário de Lira,0,0,21,14,7,1,0,0,2.4285714285714284,60.0,1,0,2,60.0,3.0,-2.4285714285714284,1,1,1,1,False
Jannik Vestergaard,0,1,21,16,2,0,0,0,3.2857142857142856,45.0,0,1,1,45.0,3.0,-3.2857142857142856,1,1,1,1,True
Patrick Bamford,15,0,21,9,9,1,0,0,6.714285714285714,55.0,1,0,2,55.0,3.0,8.285714285714285,2,2,2,2,False
Illan Meslier,4,0,21,9,9,0,1,0,4.0,45.0,1,0,3,45.0,3.0,0.0,2,2,2,2,False
Eberechi Eze,11,0,21,6,20,0,0,1,3.7142857142857144,60.0,0,1,0,60.0,3.0,7.285714285714286,2,0,0,0,True
Adama Traoré,1,0,21,20,6,0,0,1,2.857142857142857,65.0,1,0,0,65.0,3.0,-1.8571428571428572,3,1,1,1,False
Cheikhou Kouyaté,3,0,21,6,20,0,0,1,2.4285714285714284,50.0,0,1,0,50.0,3.0,0.5714285714285716,2,0,0,0,True
Rui Pedro dos Santos Patrício,2,0,21,20,6,0,1,0,2.142857142857143,55.0,1,0,3,55.0,2.0,-0.1428571428571428,3,1,1,1,False
Tanguy Ndombele,2,0,21,17,3,0,0,1,3.7142857142857144,60.0,1,0,0,60.0,3.0,-1.7142857142857144,1,1,1,1,False
Tyrick Mitchell,0,1,21,6,20,0,0,0,0.2857142857142857,40.0,0,1,1,40.0,1.0,-0.2857142857142857,2,0,0,0,True
Ainsley Maitland-Niles,0,1,21,1,13,0,0,0,0.7142857142857143,50.0,0,1,1,50.0,1.0,-0.7142857142857143,0,3,3,3,True
Harvey Barnes,8,0,21,10,10,0,0,1,2.857142857142857,70.0,0,1,0,70.0,3.0,5.142857142857142,2,2,2,2,True
Gary Cahill,0,1,21,6,20,0,0,0,1.0,45.0,0,1,1,45.0,2.0,-1.0,2,0,0,0,True
Serge Aurier,0,1,21,17,3,0,0,0,1.7142857142857142,55.0,1,0,1,55.0,2.0,-1.7142857142857142,1,1,1,1,False
Willy Boly,2,1,21,20,6,0,0,0,2.857142857142857,55.0,1,0,1,55.0,3.0,-0.8571428571428572,3,1,1,1,False
André-Frank Zambo Anguissa,1,0,22,8,9,0,0,1,1.4285714285714286,45.0,0,1,0,45.0,2.0,-0.4285714285714286,2,2,2,2,True
Christian Benteke,1,0,22,6,14,1,0,0,3.5714285714285716,55.0,1,0,2,55.0,3.0,-2.5714285714285716,2,1,1,1,False
Thiago Thiago,1,1,22,5,17,0,0,0,4.571428571428571,55.0,1,0,1,55.0,3.0,-3.571428571428571,0,2,2,2,False
Alexandre Lacazette,4,0,22,1,20,1,0,0,4.0,85.0,1,0,2,85.0,3.0,0.0,2,0,0,0,False
Trent Alexander-Arnold,2,1,22,11,3,0,0,0,3.7142857142857144,75.0,0,1,1,75.0,3.0,-1.7142857142857144,1,1,1,1,True
Jacob Murphy,0,0,22,14,6,0,0,1,1.5714285714285714,50.0,0,1,0,50.0,2.0,-1.5714285714285714,3,1,1,1,True
Pierre-Emile Højbjerg,1,0,22,17,5,0,0,1,2.142857142857143,50.0,0,1,0,50.0,2.0,-1.1428571428571428,0,2,2,2,True
Mohamed Salah,2,0,22,11,3,0,0,1,5.714285714285714,120.0,0,1,0,120.0,3.0,-3.7142857142857144,1,1,1,1,True
Gylfi Sigurdsson,8,0,22,7,10,0,0,1,4.428571428571429,70.0,1,0,0,70.0,3.0,3.571428571428571,2,2,2,2,False
